_id,County,Jurisdiction,Planning Period,Record Type,Review Status,Date Received,Date Reviewed,Compliance Status
180,LOS ANGELES,PICO RIVERA,6,ADOPTED,IN,2/28/2024,2/29/2024,IN
181,LOS ANGELES,POMONA,6,ADOPTED,IN,8/8/2022,9/30/2022,IN
182,LOS ANGELES,RANCHO PALOS VERDES,6,SUBSEQUENT DRAFT,IN REVIEW,2/6/2024,,OUT
183,LOS ANGELES,REDONDO BEACH,6,ADOPTED,IN,7/11/2022,9/1/2022,IN
184,LOS ANGELES,ROLLING HILLS,6,ADOPTED,IN,9/28/2022,11/23/2022,IN
185,LOS ANGELES,ROLLING HILLS ESTATES,6,ADOPTED,IN,4/27/2023,5/24/2023,IN
186,LOS ANGELES,ROSEMEAD,6,ADOPTED,IN,6/3/2022,8/1/2022,IN
187,LOS ANGELES,SAN DIMAS,6,ADOPTED,IN,9/29/2022,10/14/2022,IN
188,LOS ANGELES,SAN FERNANDO,6,ADOPTED,IN,6/10/2022,8/9/2022,IN
189,LOS ANGELES,SAN GABRIEL,6,ADOPTED,IN,2/7/2022,2/10/2022,IN
190,LOS ANGELES,SAN MARINO,6,ADOPTED,OUT,2/11/2022,4/12/2022,OUT
191,LOS ANGELES,SANTA CLARITA,6,ADOPTED,IN,7/5/2023,8/22/2023,IN
192,LOS ANGELES,SANTA FE SPRINGS,6,SUBSEQUENT DRAFT,OUT,1/22/2024,3/18/2024,OUT
193,LOS ANGELES,SANTA MONICA,6,ADOPTED,IN,10/12/2022,10/14/2022,IN
194,LOS ANGELES,SIERRA MADRE,6,ADOPTED,IN,7/28/2022,8/10/2022,IN
195,LOS ANGELES,SIGNAL HILL,6,ADOPTED,IN,9/28/2022,10/13/2022,IN
196,LOS ANGELES,SOUTH EL MONTE,6,ADOPTED,OUT,12/18/2023,2/8/2024,OUT
197,LOS ANGELES,SOUTH GATE,6,ADOPTED,IN,1/24/2024,2/28/2024,IN
198,LOS ANGELES,SOUTH PASADENA,6,ADOPTED,OUT,12/15/2023,2/13/2024,OUT
199,LOS ANGELES,TEMPLE CITY,6,ADOPTED,IN,10/19/2022,12/16/2022,IN
200,LOS ANGELES,TORRANCE,6,ADOPTED,IN,8/15/2022,10/12/2022,IN
201,LOS ANGELES,VERNON,6,ADOPTED,OUT,9/26/2023,11/21/2023,OUT
202,LOS ANGELES,WALNUT,6,ADOPTED,IN,8/28/2023,9/18/2023,IN
203,LOS ANGELES,WEST COVINA,6,ADOPTED,OUT,1/3/2024,3/1/2024,OUT
204,LOS ANGELES,WEST HOLLYWOOD,6,ADOPTED,IN,2/27/2023,4/28/2023,IN
205,LOS ANGELES,WESTLAKE VILLAGE,6,ADOPTED,IN,12/14/2021,2/10/2022,IN
206,LOS ANGELES,WHITTIER,6,ADOPTED,IN,8/16/2022,10/12/2022,IN
207,MADERA,CHOWCHILLA,6,INITIAL DRAFT,OUT,11/30/2023,2/28/2024,OUT
208,MADERA,MADERA,6,NEW CYCLE,DUE,1/31/2024,1/31/2024,OUT
209,MADERA,MADERA COUNTY,6,NEW CYCLE,DUE,1/31/2024,1/31/2024,OUT
210,MARIN,BELVEDERE,6,SUBSEQUENT DRAFT,IN REVIEW,1/30/2024,,OUT
211,MARIN,CORTE MADERA,6,ADOPTED,IN,6/21/2023,8/15/2023,IN
212,MARIN,FAIRFAX,6,ADOPTED,IN REVIEW,3/14/2024,,OUT
213,MARIN,LARKSPUR,6,SUBSEQUENT DRAFT,OUT,12/1/2023,1/30/2024,OUT
214,MARIN,MARIN COUNTY,6,ADOPTED,IN,5/17/2023,6/19/2023,IN
